Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
React. Быстрый старт,Стефанов Стоян,Питер:Бестселлеры O`Reilly,1946,Нет старого прайса,Нет скидки,На складе
"Роберт Мартин рекомендует. Код, который умещается в голове. Эвристики для разработчиков",Симан Марк,Питер:Библиотека программиста,2226,Нет старого прайса,Нет скидки,На складе
Python за 7 дней. Краткий курс для начинающих,Парк Эндрю,Питер:Библиотека программиста,1121,1437,22,На складе
Трехмерное глубокое обучение на Python,Ма Ксудонг и др.,ДМК-Пресс,2177,3628,40,Ограничено
GPT-3. Руководство по использованию API Open AI,"Кублик Сандра, Сабу Шубхан",ДМК-Пресс,1340,2233,40,На складе
Проектирование информационно-библиотечных систем. Учебник,Рахматуллаев Марат Алимович,ИНФРА-М:Высшее образование,2146,3576,40,На складе
Docker Compose для разработчика,Гадзурас Эммануил,ДМК-Пресс,2009,3349,40,Ограничено
Безопасность ASP. NET Core,Венц Кристиан,ДМК-Пресс,2931,4885,40,На складе
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,Пылов Петр Андреевич и др.,Инфра-Инженерия,1038,1730,40,На складе
Linux. Командная строка. Лучшие практики,Барретт Дэниел Джей,Питер:Бестселлеры O`Reilly,1679,Нет старого прайса,Нет скидки,На складе
"Фундаментальный подход к программной архитектуре. Паттерны, свойства, проверенные методы","Ричардс Марк, Форд Нил",Питер:Для профессионалов,3206,Нет старого прайса,Нет скидки,На складе
Python для data science,Васильев Юлий,Питер:Библиотека программиста,1666,Нет старого прайса,Нет скидки,На складе
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,646,1076,40,На складе
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI,"Розема Мишель, Влотман Хенк",ДМК-Пресс,2931,4885,40,На складе
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля,Меле Антонио,ДМК-Пресс,4187,6979,40,На складе
Введение в автоматизированное машинное обучение (AutoML),Хуттер Франк и др.,ДМК-Пресс,2512,4187,40,На складе
Java. Руководство для начинающих,Шилдт Герберт,Вильямс,3227,5378,40,На складе
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,Техносфера:Мир программирования,435,725,40,На складе
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера:Мир программирования,274,456,40,На складе
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера:Мир цифровой обработки,232,386,40,На складе
Цифровая обработка сигналов с приложениями для геофизики и экспериментальной механики. Учебник,Гетманов Виктор Григорьевич,Техносфера:Мир цифровой обработки,916,1527,40,На складе
Цифровые видеоинформационные системы. Теория и практика,"Дворкович Виктор Павлович, Дворкович Александр Викторович",Техносфера:Мир цифровой обработки,1344,2240,40,На складе
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович",Техносфера:Мир цифровой обработки,820,1366,40,На складе
